step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0
0,0.0,0,0.005033,1.64123e-10,0,,
1,0.001,0,0.005056,1.53314e-10,0,-0.048118,6.82121e-12
2,0.002,0,0.003688,3.44271e-10,0,-0.192472,9.09495e-12
3,0.003,0,0.006964,2.62465e-10,0,-0.433062,4.33431e-12
4,0.004,0,0.004029,3.13082e-10,0,-0.769889,1.34293e-12
5,0.005,0,0.004668,2.9471e-10,0,-1.20295,5.60618e-12
6,0.006,0,0.006511,3.05905e-10,0,-1.73225,1.25766e-12
7,0.007,0,0.004076,3.92971e-10,0,-2.35778,3.20455e-12
8,0.008,0,0.004952,3.57869e-10,0,-3.07955,3.26139e-12
9,0.009000000000000001,0,0.005697,3.9732e-10,0,-3.89756,5.00933e-12
10,0.01,0,0.004705,2.95723e-10,0,-4.8118,3.77298e-12
11,0.011,0,0.004885,3.54301e-10,0,-5.82228,6.53699e-12
12,0.012,0,0.00408,3.69731e-10,0,-6.929,6.38067e-12
13,0.013000000000000001,0,0.00506,3.54088e-10,0,-8.13195,6.52989e-12
14,0.014,0,0.004641,3.26937e-10,0,-9.43114,4.20641e-12
15,0.015,0,0.004454,3.73079e-10,0,-10.8266,8.14993e-12
16,0.016,0,0.003624,3.94816e-10,0,-12.3182,7.17648e-12
17,0.017,0,0.005996,4.08491e-10,0,-13.9061,7.92255e-12
18,0.018000000000000002,0,0.016983,3.13108e-10,0,-15.5902,8.91021e-12
19,0.019,0,0.003446,3.08587e-10,0,-17.3706,7.04148e-12
20,0.02,0,0.006123,4.48927e-10,0,-19.2472,9.99023e-12
21,0.021,0,0.006089,4.38857e-10,0,-21.2201,5.8975e-12
22,0.022,0,0.009251,3.5624e-10,0,-23.2891,4.9738e-12
23,0.023,0,0.005619,3.3232e-10,0,-25.4544,4.93117e-12
24,0.024,0,0.006825,3.97928e-10,0,-27.716,6.47304e-12
25,0.025,0,0.005075,3.70395e-10,0,-30.0738,6.25988e-12
26,0.026000000000000002,0,0.005365,4.17915e-10,0,-32.5278,6.69331e-12
27,0.027,0,0.005455,4.64089e-10,0,-35.0781,6.20304e-12
28,0.028,0,0.007179,4.31949e-10,0,-37.7245,2.56506e-12
29,0.029,0,0.005759,3.80241e-10,0,-40.4673,5.02354e-12
30,0.03,0,0.003832,4.49874e-10,0,-43.3062,6.24567e-12
31,0.031,0,0.00416,3.91494e-10,0,-46.2414,4.09273e-12
32,0.032,0,0.005363,4.28815e-10,0,-49.2729,6.56541e-12
33,0.033,0,0.003818,4.01701e-10,0,-52.4006,5.91882e-12
34,0.034,0,0.004569,4.36897e-10,0,-55.6245,5.47118e-12
35,0.035,0,0.004415,4.26647e-10,0,-58.9446,3.26139e-12
36,0.036000000000000004,0,0.00423,3.79536e-10,0,-62.361,6.09646e-12
37,0.037,0,0.007467,4.53348e-10,0,-65.8736,4.52616e-12
38,0.038,0,0.00433,4.73439e-10,0,-69.4825,4.66116e-12
39,0.039,0,0.005461,4.41962e-10,0,-73.1875,7.06279e-12
40,0.04,0,0.006612,4.45518e-10,0,-76.9889,4.46931e-12
41,0.041,0,0.005511,4.51045e-10,0,-80.8864,5.24381e-12
42,0.042,0,0.006844,4.50601e-10,0,-84.8802,4.41247e-12
43,0.043000000000000003,0,0.006186,3.8937e-10,0,-88.9703,5.94014e-12
44,0.044,0,0.006477,3.45814e-10,0,-93.1565,6.2883e-12
45,0.045,0,0.007207,4.39367e-10,0,-97.439,5.25091e-12
46,0.046,0,0.005603,3.90089e-10,0,-101.818,6.38778e-12
47,0.047,0,0.006426,4.10249e-10,0,-106.293,6.00409e-12
48,0.048,0,0.005669,4.48037e-10,0,-110.864,4.49774e-12
49,0.049,0,0.006704,4.75887e-10,0,-115.531,6.13198e-12
50,0.05,0,0.005878,4.14344e-10,0,-120.295,3.86535e-12
51,0.051000000000000004,0,0.005882,4.5884e-10,0,-125.155,7.84439e-12
52,0.052000000000000005,0,0.006181,3.33243e-10,0,-130.111,5.64171e-12
53,0.053,0,0.009505,3.66465e-10,0,-135.164,4.78906e-12
54,0.054,0,0.009289,3.97234e-10,0,-140.312,6.05382e-12
55,0.055,0,0.005597,4.05314e-10,0,-145.557,7.15517e-12
56,0.056,0,0.00553,4.05915e-10,0,-150.898,5.50671e-12
57,0.057,0,0.004632,3.38929e-10,0,-156.336,8.25651e-12
58,0.058,0,0.014241,3.76444e-10,0,-161.869,6.942e-12
59,0.059000000000000004,0,0.015595,3.40754e-10,0,-167.499,6.22435e-12
60,0.06,0,0.03701,3.90451e-10,0,-173.225,6.33804e-12
