step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
0,0.0,0,0.003055,1.64133e-10,0,-0.048118,6.82121e-12,
1,0.001,0,0.003378,1.53313e-10,0,-0.192472,9.09495e-12,
2,0.002,0,0.003596,3.44257e-10,0,-0.433062,4.33431e-12,
3,0.003,0,0.003314,2.56036e-10,0,-0.769889,1.20082e-12,
4,0.004,0,0.00322,3.14624e-10,0,-1.20295,5.60618e-12,
5,0.005,0,0.025075,2.87722e-10,0,-1.73225,8.95284e-13,
6,0.006,0,0.014058,3.29461e-10,0,-2.35778,3.5385e-12,
7,0.007,0,0.003193,4.25824e-10,0,-3.07955,3.2756e-12,
8,0.008,0,0.06785,3.81581e-10,0,-3.89756,5.80513e-12,
9,0.009000000000000001,0,0.0061,4.49563e-10,0,-4.8118,2.94875e-12,
10,0.01,0,0.005235,2.88845e-10,0,-5.82228,7.39675e-12,
11,0.011,0,0.004717,2.73808e-10,0,-6.929,6.03251e-12,
12,0.012,0,0.005018,2.83984e-10,0,-8.13195,6.47304e-12,
13,0.013000000000000001,0,0.004275,2.98873e-10,0,-9.43114,4.5759e-12,
14,0.014,0,0.008422,3.46937e-10,0,-10.8266,6.78568e-12,
15,0.015,0,0.004444,3.87686e-10,0,-12.3182,7.3257e-12,
16,0.016,0,0.009665,3.73341e-10,0,-13.9061,7.65965e-12,
17,0.017,0,0.005718,3.65116e-10,0,-15.5902,7.74492e-12,
18,0.018000000000000002,0,0.003466,3.49445e-10,0,-17.3706,7.65255e-12,
19,0.019,0,0.003935,4.16217e-10,0,-19.2472,8.2494e-12,
20,0.02,0,0.006747,4.3123e-10,0,-21.2201,3.56692e-12,
21,0.021,0,0.004084,3.48603e-10,0,-23.2891,4.9738e-12,
22,0.022,0,0.003909,3.52648e-10,0,-25.4544,5.03064e-12,
23,0.023,0,0.004342,4.15563e-10,0,-27.716,4.59721e-12,
24,0.024,0,0.004032,3.88496e-10,0,-30.0738,6.55831e-12,
25,0.025,0,0.003565,3.9968e-10,0,-32.5278,5.1088e-12,
26,0.026000000000000002,0,0.004673,3.83929e-10,0,-35.0781,5.61329e-12,
27,0.027,0,0.004561,4.6458e-10,0,-37.7245,5.96145e-12,
28,0.028,0,0.004465,4.42985e-10,0,-40.4673,4.583e-12,
29,0.029,0,0.004284,4.16053e-10,0,-43.3062,6.92779e-12,
30,0.03,0,0.005018,5.09243e-10,0,-46.2414,6.57252e-12,
31,0.031,0,0.00409,4.5886e-10,0,-49.2729,8.80362e-12,
32,0.032,0,0.004651,3.99982e-10,0,-52.4006,7.90124e-12,
33,0.033,0,0.003775,4.12151e-10,0,-55.6245,5.71987e-12,
34,0.034,0,0.003795,3.66658e-10,0,-58.9446,5.71276e-12,
35,0.035,0,0.003703,3.92445e-10,0,-62.361,5.86198e-12,
36,0.036000000000000004,0,0.004019,4.44819e-10,0,-65.8736,5.35039e-12,
37,0.037,0,0.004022,4.97538e-10,0,-69.4825,7.09122e-12,
38,0.038,0,0.003827,4.09648e-10,0,-73.1875,6.57963e-12,
39,0.039,0,0.00518,4.13242e-10,0,-76.9889,4.86722e-12,
40,0.04,0,0.003793,5.02275e-10,0,-80.8864,4.16378e-12,
41,0.041,0,0.005177,5.47102e-10,0,-84.8802,5.06617e-12,
42,0.042,0,0.004962,4.1764e-10,0,-88.9703,5.16565e-12,
43,0.043000000000000003,0,0.003857,4.14358e-10,0,-93.1565,5.80513e-12,
44,0.044,0,0.004373,4.22225e-10,0,-97.439,6.39488e-12,
45,0.045,0,0.005371,4.43465e-10,0,-101.818,5.96856e-12,
46,0.046,0,0.005574,4.01623e-10,0,-106.293,6.99174e-12,
47,0.047,0,0.009171,5.19098e-10,0,-110.864,5.30775e-12,
48,0.048,0,0.009675,4.5886e-10,0,-115.531,6.45883e-12,
49,0.049,0,0.005315,3.40414e-10,0,-120.295,5.25802e-12,
50,0.05,0,0.010781,3.94422e-10,0,-125.155,6.75016e-12,
51,0.051000000000000004,0,0.017964,4.89984e-10,0,-130.111,5.80513e-12,
52,0.052000000000000005,0,0.006178,4.38411e-10,0,-135.164,3.06244e-12,
53,0.053,0,0.01061,4.00667e-10,0,-140.312,4.21352e-12,
54,0.054,0,0.00494,4.33549e-10,0,-145.557,4.66116e-12,
55,0.055,0,0.003858,3.87548e-10,0,-150.898,4.02878e-12,
56,0.056,0,0.003566,3.99743e-10,0,-156.336,6.97042e-12,
57,0.057,0,0.003128,4.42028e-10,0,-161.869,8.18545e-12,
58,0.058,0,0.003138,3.93065e-10,0,-167.499,5.79803e-12,
59,0.059000000000000004,0,0.00337,3.65266e-10,0,-173.225,5.47118e-12,
60,0.06,0,0.003737,4.91492e-10,0,-179.047,7.42517e-12,
61,0.061,0,0.003047,4.95358e-10,0,-184.966,9.05942e-12,
62,0.062,0,0.003489,3.98316e-10,0,-190.981,7.09122e-12,
63,0.063,0,0.003787,4.0592e-10,0,-197.092,6.79989e-12,
64,0.064,0,0.004173,4.14952e-10,0,-203.299,3.78719e-12,
65,0.065,0,0.003337,4.99284e-10,0,-209.602,6.64357e-12,
66,0.066,0,0.003479,4.11684e-10,0,-216.002,5.18696e-12,
67,0.067,0,0.006099,4.68101e-10,0,-222.498,7.24043e-12,
68,0.068,0,0.010536,4.37646e-10,0,-229.09,7.47491e-12,
69,0.069,0,0.003186,3.82297e-10,0,-235.778,5.98988e-12,
70,0.07,0,0.003034,4.67294e-10,0,-242.563,7.03437e-12,
71,0.07100000000000001,0,0.003211,3.7048e-10,0,-249.444,6.63647e-12,
72,0.07200000000000001,0,0.003531,4.24702e-10,0,-256.421,6.45883e-12,
73,0.073,0,0.003871,3.88017e-10,0,-263.494,6.87805e-12,
74,0.074,0,0.009119,4.77252e-10,0,-270.664,4.75353e-12,
75,0.075,0,0.004665,4.98331e-10,0,-277.93,8.82494e-12,
76,0.076,0,0.004524,4.43857e-10,0,-285.292,4.91696e-12,
77,0.077,0,0.003368,3.60798e-10,0,-292.75,5.61329e-12,
78,0.078,0,0.005793,3.26734e-10,0,-300.305,7.18359e-12,
79,0.079,0,0.005542,4.06217e-10,0,-307.955,7.09832e-12,
80,0.08,0,0.005434,4.5073e-10,0,-315.702,9.031e-12,
81,0.081,0,0.005575,3.98566e-10,0,-323.546,7.14806e-12,
82,0.082,0,0.008101,3.3329e-10,0,-331.485,7.33991e-12,
83,0.083,0,0.007851,3.98458e-10,0,-339.521,6.45883e-12,
84,0.084,0,0.004381,3.88073e-10,0,-347.653,5.2367e-12,
85,0.085,0,0.025482,3.20755e-10,0,-355.881,3.36087e-12,
86,0.08600000000000001,0,0.008452,3.36725e-10,0,-364.205,7.13385e-12,
87,0.08700000000000001,0,0.006644,4.12787e-10,0,-372.626,6.20304e-12,
88,0.088,0,0.006764,3.79748e-10,0,-381.143,3.9293e-12,
89,0.089,0,0.007798,4.54416e-10,0,-389.756,4.73932e-12,
90,0.09,0,0.014171,3.73717e-10,0,-398.466,4.69669e-12,
91,0.091,0,0.028975,3.88854e-10,0,-407.271,3.6664e-12,
92,0.092,0,0.045669,3.24776e-10,0,-416.173,5.69855e-12,
93,0.093,0,0.010157,3.94444e-10,0,-425.171,6.49436e-12,
94,0.094,0,0.003556,4.45354e-10,0,-434.265,5.32907e-12,
95,0.095,0,0.004696,5.02516e-10,0,-443.456,5.4925e-12,
96,0.096,0,0.003098,4.15087e-10,0,-452.743,5.88329e-12,
97,0.097,0,0.003207,3.77409e-10,0,-462.126,4.90985e-12,
98,0.098,0,0.003257,4.50602e-10,0,-471.605,7.18359e-12,
99,0.099,0,0.003566,4.01485e-10,0,-481.18,4.91696e-12,
100,0.1,0,0.002907,4.15446e-10,0,-490.852,5.67013e-12,
101,0.101,0,0.003512,4.69569e-10,0,-500.62,6.84963e-12,
102,0.10200000000000001,0,0.002997,4.24786e-10,0,-510.484,4.34852e-12,
