step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
0,0.0,0,0.005468,1.64137e-10,0,,,
1,0.001,0,0.0053,1.53323e-10,0,-0.048118,6.82121e-12,
2,0.002,0,0.005059,3.44294e-10,0,-0.192472,9.09495e-12,
3,0.003,0,0.013103,2.56022e-10,0,-0.433062,4.33431e-12,
4,0.004,0,0.006072,3.1468e-10,0,-0.769889,1.20082e-12,
5,0.005,0,0.007019,2.89336e-10,0,-1.20295,5.60618e-12,
6,0.006,0,0.005206,3.32318e-10,0,-1.73225,8.95284e-13,
7,0.007,0,0.005289,4.29276e-10,0,-2.35778,3.5385e-12,
8,0.008,0,0.004065,4.05627e-10,0,-3.07955,3.70193e-12,
9,0.009000000000000001,0,0.00361,4.06147e-10,0,-3.89756,5.81224e-12,
10,0.01,0,0.003737,2.90272e-10,0,-4.8118,3.46034e-12,
11,0.011,0,0.00432,3.2157e-10,0,-5.82228,6.06803e-12,
12,0.012,0,0.003544,3.3866e-10,0,-6.929,6.06093e-12,
13,0.013000000000000001,0,0.003712,3.36457e-10,0,-8.13195,6.06803e-12,
14,0.014,0,0.005567,3.55049e-10,0,-9.43114,6.27409e-12,
15,0.015,0,0.005708,3.85938e-10,0,-10.8266,8.18545e-12,
16,0.016,0,0.005188,4.36692e-10,0,-12.3182,8.06466e-12,
17,0.017,0,0.003798,3.93167e-10,0,-13.9061,8.61178e-12,
18,0.018000000000000002,0,0.004783,2.98415e-10,0,-15.5902,8.83205e-12,
19,0.019,0,0.004394,4.36981e-10,0,-17.3706,6.11777e-12,
20,0.02,0,0.00463,4.49257e-10,0,-19.2472,8.34177e-12,
21,0.021,0,0.004879,4.37816e-10,0,-21.2201,4.1922e-12,
22,0.022,0,0.009191,3.73627e-10,0,-23.2891,3.43192e-12,
23,0.023,0,0.022644,3.86551e-10,0,-25.4544,4.64695e-12,
24,0.024,0,0.003832,3.47907e-10,0,-27.716,4.3201e-12,
25,0.025,0,0.00633,4.10697e-10,0,-30.0738,7.5957e-12,
26,0.026000000000000002,0,0.005895,4.48585e-10,0,-32.5278,4.64695e-12,
27,0.027,0,0.009714,4.20891e-10,0,-35.0781,6.13909e-12,
28,0.028,0,0.006094,3.82443e-10,0,-37.7245,6.40199e-12,
29,0.029,0,0.005493,3.87183e-10,0,-40.4673,5.84777e-12,
30,0.03,0,0.00501,4.96369e-10,0,-43.3062,5.03775e-12,
31,0.031,0,0.004952,4.53436e-10,0,-46.2414,5.69855e-12,
32,0.032,0,0.004841,3.83131e-10,0,-49.2729,5.52802e-12,
33,0.033,0,0.008269,4.02377e-10,0,-52.4006,8.33467e-12,
34,0.034,0,0.005033,4.25441e-10,0,-55.6245,4.9809e-12,
35,0.035,0,0.00543,4.6779e-10,0,-58.9446,4.29878e-12,
36,0.036000000000000004,0,0.004443,4.44117e-10,0,-62.361,4.79616e-12,
37,0.037,0,0.005468,4.25774e-10,0,-65.8736,3.21876e-12,
38,0.038,0,0.00526,4.66634e-10,0,-69.4825,6.21014e-12,
39,0.039,0,0.00476,4.09699e-10,0,-73.1875,5.11591e-12,
40,0.04,0,0.005113,4.57873e-10,0,-76.9889,5.95435e-12,
41,0.041,0,0.005045,5.67924e-10,0,-80.8864,6.70042e-12,
42,0.042,0,0.005191,4.35825e-10,0,-84.8802,4.9809e-12,
43,0.043000000000000003,0,0.004171,3.95078e-10,0,-88.9703,7.21201e-12,
44,0.044,0,0.008113,3.83312e-10,0,-93.1565,9.50706e-12,
45,0.045,0,0.006018,3.95085e-10,0,-97.439,8.34177e-12,
46,0.046,0,0.00481,4.65635e-10,0,-101.818,6.90648e-12,
47,0.047,0,0.007802,4.50219e-10,0,-106.293,7.3328e-12,
48,0.048,0,0.004476,5.28164e-10,0,-110.864,5.11591e-12,
49,0.049,0,0.004154,4.39668e-10,0,-115.531,3.2756e-12,
50,0.05,0,0.004131,4.03145e-10,0,-120.295,5.28644e-12,
51,0.051000000000000004,0,0.004981,3.88233e-10,0,-125.155,7.35412e-12,
52,0.052000000000000005,0,0.005759,3.72636e-10,0,-130.111,6.942e-12,
53,0.053,0,0.003933,4.395e-10,0,-135.164,5.43565e-12,
54,0.054,0,0.007737,3.87223e-10,0,-140.312,4.46221e-12,
55,0.055,0,0.005353,3.91899e-10,0,-145.557,6.36646e-12,
56,0.056,0,0.006857,4.63193e-10,0,-150.898,6.56541e-12,
